epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,244.513,1.54063,1.08536,0.00634,0.85481,0.8125,0.86341,0.5452,1.43049,0.89345,0.00798,0.0016634,0.0016634,0.0016634
70,247.977,1.57116,1.07732,0.00655,0.84262,0.74219,0.83839,0.58727,1.18527,0.94184,0.00645,0.00165845,0.00165845,0.00165845
71,251.494,1.52696,1.05008,0.00634,0.91127,0.72217,0.84311,0.49517,1.57849,0.9876,0.00883,0.0016535,0.0016535,0.0016535
72,254.914,1.6029,1.14105,0.00718,0.89672,0.70312,0.79015,0.34521,1.95932,1.24171,0.01161,0.00164855,0.00164855,0.00164855
73,258.32,1.49414,1.01546,0.0061,0.82919,0.76562,0.84066,0.52849,1.42138,0.91392,0.00802,0.0016436,0.0016436,0.0016436
74,261.708,1.4847,1.01366,0.00626,0.82041,0.7852,0.84076,0.50195,1.45135,0.93612,0.00837,0.00163865,0.00163865,0.00163865
75,265.141,1.5185,1.08421,0.00653,0.92526,0.72656,0.83133,0.47366,1.61701,1.04113,0.0095,0.0016337,0.0016337,0.0016337
76,268.594,1.53176,1.02219,0.00661,0.87107,0.79688,0.8593,0.51726,1.42055,0.94729,0.00812,0.00162875,0.00162875,0.00162875
77,271.997,1.47697,0.95827,0.00648,0.92685,0.76562,0.8691,0.55413,1.4002,0.86794,0.00814,0.0016238,0.0016238,0.0016238
78,275.386,1.49558,0.98553,0.0065,0.78227,0.78593,0.84058,0.52732,1.37537,0.9255,0.00778,0.00161885,0.00161885,0.00161885
79,278.755,1.51137,1.05365,0.0065,0.88459,0.77844,0.8475,0.50654,1.53235,0.94705,0.00913,0.0016139,0.0016139,0.0016139
80,282.131,1.51827,0.9251,0.00701,0.87281,0.75054,0.8405,0.49302,1.53661,0.96955,0.00887,0.00160895,0.00160895,0.00160895
81,285.615,1.47973,0.98337,0.00627,0.90864,0.72656,0.84639,0.47214,1.66662,0.99062,0.00992,0.001604,0.001604,0.001604
82,289.027,1.48782,1.00438,0.00657,0.90431,0.73836,0.83981,0.45628,1.5999,1.08607,0.00922,0.00159905,0.00159905,0.00159905
83,292.456,1.51346,1.08041,0.00615,0.76907,0.74219,0.8005,0.47509,1.46029,1.06614,0.00826,0.0015941,0.0015941,0.0015941
84,295.86,1.46965,1.00007,0.00621,0.89383,0.71094,0.81778,0.49073,1.52001,1.02979,0.00848,0.00158915,0.00158915,0.00158915
85,299.432,1.51087,0.99191,0.00658,0.84418,0.80469,0.85155,0.48462,1.58957,1.07639,0.00918,0.0015842,0.0015842,0.0015842
86,302.957,1.5445,1.04051,0.00644,0.84759,0.78207,0.86622,0.47321,1.62516,0.91263,0.00978,0.00157925,0.00157925,0.00157925
87,306.534,1.45249,0.97496,0.00638,0.92305,0.74968,0.85786,0.44887,1.74552,0.96037,0.01043,0.0015743,0.0015743,0.0015743
88,310.051,1.48952,1.06042,0.00632,0.93395,0.75,0.85541,0.56246,1.33552,0.9455,0.00771,0.00156935,0.00156935,0.00156935
89,313.573,1.52969,1.02009,0.00615,0.89151,0.7062,0.82371,0.53126,1.47698,0.99122,0.00849,0.0015644,0.0015644,0.0015644
90,316.952,1.4516,1.00663,0.00644,0.8365,0.75945,0.84958,0.5324,1.46863,1.00809,0.00846,0.00155945,0.00155945,0.00155945
91,320.456,1.47896,0.92963,0.00621,0.97776,0.75,0.86381,0.55787,1.38559,0.88454,0.00772,0.0015545,0.0015545,0.0015545
92,323.923,1.52329,1.04578,0.00631,0.94565,0.8125,0.87537,0.5484,1.42571,0.78343,0.00807,0.00154955,0.00154955,0.00154955
93,327.351,1.44515,0.95581,0.0063,0.89342,0.76562,0.85622,0.49988,1.5279,0.94424,0.00846,0.0015446,0.0015446,0.0015446
94,330.762,1.49411,1.01034,0.00608,0.93643,0.75,0.87053,0.53719,1.43352,0.88566,0.00777,0.00153965,0.00153965,0.00153965
95,334.212,1.51398,1.01984,0.00619,0.92002,0.80886,0.87432,0.57876,1.31674,0.84395,0.00734,0.0015347,0.0015347,0.0015347
96,337.693,1.52825,0.95323,0.00628,0.8733,0.7539,0.84385,0.50349,1.54615,0.95842,0.00921,0.00152975,0.00152975,0.00152975
97,341.123,1.48144,0.97084,0.0064,0.88919,0.82812,0.86476,0.58254,1.29528,0.87011,0.00752,0.0015248,0.0015248,0.0015248
98,344.511,1.44082,0.97339,0.0061,0.83488,0.71875,0.80775,0.5142,1.42557,1.04762,0.00808,0.00151985,0.00151985,0.00151985
99,348.3,1.4933,0.98665,0.00621,0.9001,0.79688,0.88021,0.51189,1.5352,0.93439,0.00869,0.0015149,0.0015149,0.0015149
100,352.318,1.48571,0.93242,0.0068,0.8552,0.78906,0.85687,0.53044,1.45873,0.9225,0.00822,0.00150995,0.00150995,0.00150995
