epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,600.772,1.75057,1.24826,0.01244,0.79787,0.73834,0.82327,0.38518,1.88926,0.95916,0.0194,0.0017129,0.0017129,0.0017129
60,610.409,1.7237,1.18868,0.01149,0.75644,0.72619,0.77654,0.36087,1.82859,1.26369,0.01848,0.00170795,0.00170795,0.00170795
61,620.665,1.73119,1.122,0.01178,0.82476,0.71583,0.80565,0.38246,1.89212,0.96338,0.01971,0.001703,0.001703,0.001703
62,630.796,1.70889,1.13521,0.01174,0.80706,0.67712,0.79832,0.37409,1.88846,0.9378,0.02011,0.00169805,0.00169805,0.00169805
63,640.597,1.69695,1.17132,0.01263,0.87874,0.7038,0.8309,0.42168,1.77293,0.9335,0.01764,0.0016931,0.0016931,0.0016931
64,650.861,1.73953,1.17879,0.01195,0.80309,0.73355,0.83016,0.4181,1.80702,0.99584,0.01883,0.00168815,0.00168815,0.00168815
65,661.189,1.74236,1.1932,0.01249,0.78226,0.75899,0.83054,0.39115,1.84989,1.04601,0.02124,0.0016832,0.0016832,0.0016832
66,671.14,1.67812,1.10678,0.01103,0.85072,0.72662,0.83642,0.41161,1.78079,0.89598,0.01786,0.00167825,0.00167825,0.00167825
67,680.877,1.7032,1.15438,0.01175,0.80315,0.77783,0.82679,0.41702,1.80588,1.01862,0.01837,0.0016733,0.0016733,0.0016733
68,690.947,1.73345,1.18835,0.01185,0.84702,0.67715,0.82337,0.43444,1.75406,1.01442,0.01797,0.00166835,0.00166835,0.00166835
69,701.303,1.73799,1.13403,0.01222,0.77094,0.78693,0.84435,0.44764,1.66182,0.97222,0.01645,0.0016634,0.0016634,0.0016634
70,711.097,1.70859,1.14133,0.01199,0.82345,0.75497,0.84339,0.4271,1.74067,0.9134,0.01744,0.00165845,0.00165845,0.00165845
71,721.421,1.68323,1.12592,0.01139,0.77803,0.71942,0.79076,0.36968,1.85981,1.07798,0.01902,0.0016535,0.0016535,0.0016535
72,731.603,1.68132,1.16509,0.0117,0.73714,0.7518,0.81027,0.36431,1.91708,1.01527,0.02036,0.00164855,0.00164855,0.00164855
73,741.537,1.68648,1.10067,0.01205,0.84123,0.71223,0.82847,0.41444,1.80187,0.92884,0.01871,0.0016436,0.0016436,0.0016436
74,751.194,1.72496,1.10738,0.01182,0.82901,0.71223,0.8268,0.43362,1.76321,0.95208,0.01811,0.00163865,0.00163865,0.00163865
75,761.587,1.6685,1.09364,0.01122,0.83628,0.77338,0.85571,0.43078,1.80585,0.89057,0.01871,0.0016337,0.0016337,0.0016337
76,771.765,1.63554,1.04625,0.01123,0.85281,0.73381,0.83112,0.40759,1.82655,0.95098,0.01814,0.00162875,0.00162875,0.00162875
77,781.35,1.6626,1.04848,0.01153,0.82859,0.77698,0.85905,0.44239,1.78314,0.94862,0.01761,0.0016238,0.0016238,0.0016238
78,791.601,1.70116,1.06861,0.01199,0.76074,0.75486,0.81299,0.40625,1.81109,0.93581,0.01884,0.00161885,0.00161885,0.00161885
79,801.741,1.68495,1.07546,0.0115,0.83203,0.76619,0.86358,0.4584,1.76058,0.7909,0.01829,0.0016139,0.0016139,0.0016139
80,811.667,1.64376,1.06969,0.011,0.77135,0.77338,0.80301,0.37177,1.91551,0.97314,0.01995,0.00160895,0.00160895,0.00160895
81,821.436,1.65595,1.07409,0.01177,0.7817,0.8115,0.84603,0.43341,1.78184,0.88068,0.01861,0.001604,0.001604,0.001604
82,831.553,1.64941,1.04269,0.01205,0.83848,0.76563,0.84486,0.41609,1.80454,0.9266,0.01814,0.00159905,0.00159905,0.00159905
83,841.858,1.64726,1.11968,0.01163,0.82162,0.73381,0.81137,0.4189,1.72512,0.97027,0.01743,0.0015941,0.0015941,0.0015941
84,851.545,1.6455,1.08005,0.01153,0.75006,0.78777,0.84696,0.40208,1.79552,0.94622,0.01779,0.00158915,0.00158915,0.00158915
85,861.742,1.68158,1.03583,0.01146,0.82216,0.7554,0.83361,0.398,1.87116,1.07244,0.01937,0.0015842,0.0015842,0.0015842
86,871.825,1.64623,1.03918,0.01082,0.78084,0.71769,0.8077,0.39248,1.86745,1.1235,0.01992,0.00157925,0.00157925,0.00157925
87,881.703,1.69408,1.084,0.01171,0.89452,0.73381,0.876,0.43515,1.77882,0.98118,0.01831,0.0015743,0.0015743,0.0015743
88,891.365,1.64717,1.0246,0.01137,0.79767,0.7446,0.82712,0.35588,1.97011,1.0648,0.02028,0.00156935,0.00156935,0.00156935
89,901.487,1.70031,1.06367,0.01172,0.82897,0.78458,0.85575,0.4339,1.76765,0.89068,0.01769,0.0015644,0.0015644,0.0015644
90,911.585,1.64954,1.02408,0.0108,0.8478,0.73381,0.85243,0.43873,1.7341,0.99632,0.01781,0.00155945,0.00155945,0.00155945
91,921.385,1.68248,1.07716,0.0116,0.86486,0.7446,0.87475,0.44921,1.71772,0.81252,0.01731,0.0015545,0.0015545,0.0015545
92,931.348,1.63075,1.04035,0.01163,0.81483,0.79496,0.85574,0.44691,1.72518,1.11007,0.01822,0.00154955,0.00154955,0.00154955
93,941.594,1.61952,0.95636,0.0112,0.8612,0.75899,0.84716,0.41778,1.79453,0.92803,0.01789,0.0015446,0.0015446,0.0015446
94,951.692,1.62805,1.00355,0.01135,0.85855,0.76978,0.86521,0.4463,1.75701,0.84021,0.01795,0.00153965,0.00153965,0.00153965
95,961.263,1.62702,0.99856,0.01119,0.87582,0.73741,0.85093,0.40386,1.82561,0.86987,0.01854,0.0015347,0.0015347,0.0015347
96,971.588,1.60862,1.0594,0.01061,0.83501,0.74639,0.8309,0.41614,1.77714,0.96258,0.01776,0.00152975,0.00152975,0.00152975
97,981.846,1.65064,1.02023,0.01032,0.85506,0.71223,0.83682,0.45304,1.67648,0.92413,0.01632,0.0015248,0.0015248,0.0015248
98,991.916,1.58016,0.97655,0.0108,0.78672,0.83594,0.87346,0.44831,1.71526,0.91185,0.01773,0.00151985,0.00151985,0.00151985
99,1001.55,1.63774,1.02896,0.01099,0.80326,0.7554,0.83426,0.45309,1.69659,0.95977,0.01652,0.0015149,0.0015149,0.0015149
100,1011.77,1.63467,1.01656,0.01128,0.82427,0.78058,0.85581,0.4202,1.78309,0.92779,0.01803,0.00150995,0.00150995,0.00150995
101,1022.26,1.59062,0.99143,0.0109,0.818,0.80836,0.86856,0.41709,1.84357,0.86682,0.01833,0.001505,0.001505,0.001505
102,1031.76,1.61521,0.99421,0.01071,0.86213,0.72302,0.82431,0.43992,1.70394,1.14408,0.01712,0.00150005,0.00150005,0.00150005
103,1042.04,1.59106,1.01511,0.0106,0.82772,0.79496,0.86774,0.47152,1.67407,0.86437,0.01648,0.0014951,0.0014951,0.0014951
104,1052.17,1.57404,0.98917,0.01109,0.83114,0.76978,0.84759,0.44889,1.75499,0.82908,0.01743,0.00149015,0.00149015,0.00149015
105,1062.14,1.62278,1.05998,0.01091,0.83778,0.76166,0.85541,0.46653,1.65801,0.85336,0.01663,0.0014852,0.0014852,0.0014852
106,1071.8,1.59101,0.96334,0.01103,0.90401,0.7554,0.86845,0.47708,1.66749,0.81836,0.01673,0.00148025,0.00148025,0.00148025
107,1082.01,1.59007,0.96401,0.01134,0.85882,0.7482,0.82955,0.42863,1.79851,0.95824,0.01878,0.0014753,0.0014753,0.0014753
108,1092.35,1.5559,0.98163,0.0104,0.82771,0.77767,0.85399,0.47054,1.65181,0.82665,0.0161,0.00147035,0.00147035,0.00147035
109,1101.98,1.56153,0.95834,0.01029,0.85088,0.71839,0.82792,0.4055,1.84104,0.97046,0.0193,0.0014654,0.0014654,0.0014654
110,1112.25,1.56883,0.97086,0.01114,0.86231,0.77698,0.86348,0.44325,1.78378,0.83362,0.01808,0.00146045,0.00146045,0.00146045
111,1122.36,1.56843,0.9696,0.01075,0.89544,0.77012,0.86466,0.46608,1.7397,0.87085,0.01752,0.0014555,0.0014555,0.0014555
112,1132.28,1.55762,0.93037,0.01063,0.83017,0.79856,0.87714,0.45612,1.70575,0.7599,0.01669,0.00145055,0.00145055,0.00145055
113,1141.84,1.57333,0.94409,0.01064,0.88612,0.76259,0.85835,0.46747,1.6643,0.83318,0.01635,0.0014456,0.0014456,0.0014456
114,1152.03,1.55455,0.97323,0.01039,0.86022,0.70838,0.827,0.42587,1.78676,0.92919,0.01772,0.00144065,0.00144065,0.00144065
115,1162.19,1.57241,0.97811,0.01032,0.89491,0.73741,0.86038,0.45846,1.7303,0.7998,0.01695,0.0014357,0.0014357,0.0014357
116,1172.01,1.56841,0.97273,0.01049,0.8174,0.78058,0.8548,0.43966,1.74199,0.89156,0.0174,0.00143075,0.00143075,0.00143075
117,1182.16,1.564,0.93236,0.01084,0.85028,0.80576,0.86452,0.45382,1.73005,0.77512,0.01703,0.0014258,0.0014258,0.0014258
118,1192.49,1.52888,0.92544,0.01032,0.77462,0.76978,0.83061,0.42844,1.77725,0.86958,0.01767,0.00142085,0.00142085,0.00142085
119,1202.46,1.54351,0.9828,0.01054,0.85694,0.78777,0.86886,0.44629,1.72233,0.86235,0.01705,0.0014159,0.0014159,0.0014159
120,1212.09,1.52473,0.91783,0.01052,0.87152,0.78417,0.87559,0.4291,1.79293,0.79336,0.01799,0.00141095,0.00141095,0.00141095
121,1222.3,1.55464,0.91295,0.01007,0.79671,0.78777,0.85401,0.46671,1.70808,0.80812,0.01693,0.001406,0.001406,0.001406
122,1232.42,1.54917,0.9781,0.01059,0.86007,0.81655,0.87457,0.45771,1.71279,0.83541,0.01712,0.00140105,0.00140105,0.00140105
123,1242.2,1.54379,0.92389,0.01005,0.76019,0.82374,0.87131,0.46376,1.72421,0.83338,0.01751,0.0013961,0.0013961,0.0013961
124,1252.18,1.57488,0.93677,0.01095,0.90537,0.75899,0.87019,0.47363,1.73427,0.82416,0.01726,0.00139115,0.00139115,0.00139115
125,1262.24,1.53151,0.89463,0.01076,0.8382,0.80216,0.86777,0.47789,1.69447,0.87792,0.01709,0.0013862,0.0013862,0.0013862
126,1272.55,1.52846,0.92349,0.01062,0.85959,0.77073,0.87553,0.46829,1.72434,0.86439,0.01765,0.00138125,0.00138125,0.00138125
